,question,answers
3047,Does SeaWorld collect dolphins from the wild currently?,"We haven't collected a dolphin from the wild in decades."""
3048,"In the second verse, who performs One Direction's bridge solo?","During the second verse, a group of three girls joins the band at the beach; in Styles' bridge solo, he intimately sings to one girl individually."
3050,Who did Jeunet want to play Amelie originally?,"In his DVD commentary, Jeunet explains that he originally wrote the role of Amélie for the English actress Emily Watson; in the original draft, Amélie's father was an Englishman living in London."
3051,What should happen to fruits or vegetables that have come in contact with raw meat?,"Fruits and vegetables, if they are not going to be cooked, should be thrown away if they have touched raw meat, poultry, seafood or eggs."
3052,What types of mutation are usually selected against?,Most loss of function mutations are selected against.
3053,What are the years Salvador Dali was active in?,"Dalí painted it in 1936, but there were studies found of it that dated back to 1934."
3054,"Who composed ""The Matrix's"" score?",The film's score was composed by Don Davis.
3055,What is Carly Rae Jespen's vocal range?,"Jepsen's vocals span from G3 to C5, and the song follows a key progression of Cmaj7–G/D–Cmaj7–G/D."
3056,How was The Terminator reviewed by AllMusic?,"Online music database AllMusic praised the score of the film, referring to it as ""underrated highlight"" of ""The Terminator"" and referred to it as a ""marvelous synthesizer score""."
3057,How many total pieces are included in the Space Needle Lego Set?,"The Space Needle has been used for some other purposes as well, including a large 57 piece Lego construction set of it that has been released as part of Lego Architecture's structures."
3058,On what date did the region 2 DVD come out?,"It was released on DVD in Region 2 on August 23, 2010."
3059,The 1521 edition of De Archietectura was created by who?," Cesare Cesariano (1521) who edited the important 1521 edition of ""De Architectura"" of Vitruvius (Leonardo da Vinci is supposed to have provided the illustrations for this edition)."
3060,How much did it cost to make Dallas Buyers Club?,it grossed over $32 million in box office revenue against a budget of $5 million.
3061,Why did David and Bathsheba's child die?,"Bathsheba's child by David was struck with a severe illness and died a few days after birth, which the king accepted as his punishment."
3063,How often is the Great Sphinx referred to by ancient Egyptians?,"It is not known by what name the creators called their statue, as the Great Sphinx does not appear in any known inscription of the Old Kingdom, and there are no inscriptions anywhere describing its construction or its original purpose."
3064,What is fencing?,Fencing is the activity of fighting with swords.
3065,What was the date of the 50th anniversary of the Surrender of Japan?,"On August 15, 1995, the fiftieth anniversary of the Surrender of Japan, the Japanese prime minister Tomiichi Murayama gave the first clear and formal apology for Japanese actions during the war."
3066,How can you counteract heeling?,"In some high-performance racing yachts, water ballast or the angle of a canting keel can be changed to provide additional righting force to counteract heeling."
3068,Where is Alexander Karelin from?,One of the most well known Greco-Roman wrestlers is Alexander Karelin from Russia.
3069,Who did lead vocals and piano?,"Isaac Slade - lead vocals, piano"
3070,How does the US define marzipan?,"In the U.S., marzipan is not officially defined, but it is generally made with a higher ratio of sugar to almonds than almond paste."
3071,When was the nationwide release date pushed back to?,"The nationwide release date was pushed back to January 11, 2013, moving it out of the crowded Christmas period and closer to the Academy Awards."
3072,Did Seamus Davey-Fitzpatrick play Hank in the movie Before Midnight?, Seamus Davey-Fitzpatrick as Hank
3073,"How many tests were used to verify de Vinci's work ""Lady with an Ermine""?","The ""Lady with an Ermine"" has been subjected to two detailed laboratory examinations."
3074,What tower is near the Sky Ride?,"The Kosher Mart building was, until 1992, the Rhineland entrance of the Sky Ride - a ski lift transport ride which took you to Minetown, near the Kissing Tower and Twin Turnpike (which is now the location of Great Bear)."
3075,What disease was brought by the Spanish conquerors that ultimately killed millions of Aztecs in the 1520s?,"Unintentionally introduced by Spanish conquerors, smallpox ravaged Mesoamerica in the 1520s, killing more than 3 million Aztecs."
3076,How is the rider launched airborne?,"When the rider rides up the wake, the energy of the wake launches him airborne."
3077,"Where was the ""U-96"" based in real life in late 1941?","In real life, the ""U-96"" was based at Saint-Nazaire in late 1941."
3078,The Peak Lookout Restaurant was rebuilt in what year?,"It was rebuilt in 1901 as a stop area for sedan chairs, but was re-opened as a restaurant in 1947."
3081,When did the performance of Commedia dell'arte start?,"During the 16th century and on into the 18th century, Commedia dell'arte was a form of improvisational theatre, and it is still performed today."
3082,What do people regard the working body as in thermodynamics?,"In this kind of account, the working body is often regarded as a ""black box"", and its own state is not specified."
3083,"In the television series 'Modern Family', what neighborhood is the Dunphys' house located in?",The Dunphys' house is in the Cheviot Hills neighborhood.
3084,In what was does Pastafarianism parody the Sistine Chapel ceiling?,"In Pastafarianism, a parody of the painting is shown as the Flying Spaghetti Monster reaching a noodly appendage out to Adam."
3085,Winston Groom was to receive what percentage of the film's net profit?,"Winston Groom was paid $350,000 for the screenplay rights to his novel ""Forrest Gump"" and was contracted for a 3 percent share of the film's net profits."
3086,What year did the film American Hustle premier?,"American Hustle is a 2013 American crime comedy-drama film directed by David O. Russell, from a screenplay written by Eric Warren Singer and Russell, loosely based on the FBI ABSCAM operation of the late 1970s and early 1980s."
